trainer_id,place,pokename,level,hp,maxhp,attack,defense,spatk,spdef,speed,"CONCATENATE(""insert into trainer_teams ("",TEXTJOIN("","",TRUE,A$1,generator!D$1,D$1,E$1,F$1,G$1,H$1,I$1,J$1,K$1),"") values('"",TEXTJOIN(""','"",FALSE,A2,generator!D2, D2,E2,F2,G2,H2,I2,J2,K2),""');"")"
0,0,Smeargle,60,157,157,50,68,50,80,116,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('0','235','0','60');"
1,0,Smeargle,30,83,83,27,36,27,42,60,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('1','235','0','30');"
2,0,Wailord,57,281,281,128,76,128,76,93,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('2','321','0','57');"
2,1,Vileplume,57,173,173,116,122,150,128,82,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('2','45','1','57');"
3,0,Armaldo,47,144,144,139,115,87,97,64,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('3','348','0','47');"
3,1,Cradily,47,154,154,98,113,98,122,62,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('3','346','1','47');"
4,0,Armaldo,56,170,170,165,137,103,114,75,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('4','348','0','56');"
4,1,Cradily,56,182,182,115,133,115,145,73,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('4','346','1','56');"
5,0,Carvanha,21,57,57,50,20,39,20,39,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('5','318','0','21');"
5,1,Numel,21,63,63,37,29,39,31,27,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('5','322','1','21');"
6,0,Sandslash,46,141,141,113,122,62,72,81,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('6','28','0','46');"
6,1,Ninetales,46,139,139,91,90,96,113,113,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('6','38','1','46');"
7,0,Weepinbell,24,73,73,56,37,54,35,40,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('7','70','0','24');"
7,1,Gloom,24,71,71,44,47,54,49,32,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('7','44','1','24');"
7,2,Ivysaur,24,71,71,43,43,52,52,42,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('7','2','2','24');"
8,0,Nidorino,39,110,110,75,63,61,61,69,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('8','33','0','39');"
8,1,Nidoking,39,126,126,98,79,85,77,85,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('8','34','1','39');"
9,0,Sandslash,39,121,121,97,104,54,61,69,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('9','28','0','39');"
9,1,Dugtrio,39,90,90,81,58,58,73,112,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('9','51','1','39');"
10,0,Rhyhorn,43,137,137,93,102,46,46,41,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('10','111','0','43');"
11,0,Persian,44,127,127,82,73,78,78,122,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('11','53','0','44');"
11,1,Ninetales,44,134,134,87,86,92,108,108,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('11','38','1','44');"
12,0,Ivysaur,42,117,117,72,73,87,87,70,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('12','2','0','42');"
12,1,Wartortle,42,116,116,73,87,74,87,68,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('12','8','1','42');"
12,2,Charmeleon,42,115,115,73,68,87,74,87,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('12','5','2','42');"
12,3,Charizard,42,132,132,90,85,111,91,104,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('12','6','3','42');"
13,0,Exeggutor,43,150,150,102,93,127,76,67,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('13','103','0','43');"
13,1,Cloyster,43,111,111,102,175,93,59,80,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('13','91','1','43');"
13,2,Arcanine,43,145,145,115,89,106,89,102,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('13','59','2','43');"
14,0,Parasect,43,120,120,102,89,72,89,46,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('14','47','0','43');"
14,1,Dewgong,43,145,145,80,89,80,102,80,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('14','87','1','43');"
14,2,Chansey,43,283,283,24,24,50,110,63,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('14','113','2','43');"
15,0,Kingler,43,115,115,132,119,63,63,84,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('15','99','0','43');"
15,1,Tentacruel,43,137,137,80,76,89,123,106,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('15','73','1','43');"
15,2,Blastoise,43,136,136,91,106,93,110,87,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('15','9','2','43');"
16,0,Bellsprout,43,111,111,84,50,80,46,54,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('16','69','0','43');"
16,1,Weepinbell,43,124,124,97,63,93,59,67,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('16','70','1','43');"
16,2,Victreebel,43,137,137,110,76,106,80,80,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('16','71','2','43');"
17,0,Ivysaur,24,71,71,43,43,52,52,42,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('17','2','0','24');"
17,1,Charmeleon,24,70,70,44,41,52,44,52,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('17','5','1','24');"
17,2,Wartortle,24,70,70,43,52,44,52,41,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('17','8','2','24');"
18,0,Charmeleon,27,78,78,49,46,57,49,57,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('18','5','0','27');"
19,0,Rapidash,36,105,105,89,68,75,75,93,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('19','78','0','36');"
20,0,Rapidash,39,113,113,97,73,81,81,100,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('20','78','0','39');"
21,0,Rapidash,43,124,124,106,80,89,89,110,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('21','78','0','43');"
22,0,Magneton,33,87,87,56,79,96,63,63,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('22','82','0','33');"
22,1,Quagsire,31,111,111,68,68,56,56,37,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('22','195','1','31');"
22,2,Exeggcute,31,89,89,40,65,53,44,40,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('22','102','2','31');"
23,0,Sandslash,35,110,110,87,94,49,56,63,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('23','28','0','35');"
24,0,Horsea,33,74,74,43,63,63,33,56,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('24','116','0','33');"
24,1,Horsea,33,74,74,43,63,63,33,56,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('24','116','1','33');"
24,2,Horsea,33,74,74,43,63,63,33,56,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('24','116','2','33');"
25,0,Electrode,35,99,99,52,66,73,73,115,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('25','101','0','35');"
25,1,Starmie,35,99,99,70,77,87,77,98,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('25','121','1','35');"
25,2,Ninetales,35,108,108,70,70,74,87,87,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('25','38','2','35');"
26,0,Horsea,34,76,76,44,64,64,34,58,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('26','116','0','34');"
26,1,Seadra,36,98,98,64,86,86,50,79,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('26','117','1','36');"
27,0,Butterfree,25,74,74,36,39,59,54,49,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('27','12','0','25');"
27,1,Bellossom,25,81,81,54,61,59,64,39,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('27','182','1','25');"
28,0,Dragonair,37,105,105,80,66,70,70,70,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('28','148','0','37');"
29,0,Poliwhirl,28,84,84,51,51,43,43,65,"insert into trainer_teams (trainer_id,pokemon_id,place,level) values('29','61','0','28');"
