id,name,supertype,subtype,rules,number,artist,rarity,legalities_unlimited,legalities_expanded,images_small,images_large
base1-1,Alakazam,Pokémon,Stage 2,,1,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/1.png,https://images.pokemontcg.io/base1/1_hires.png
base1-2,Blastoise,Pokémon,Stage 2,,2,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/2.png,https://images.pokemontcg.io/base1/2_hires.png
base1-3,Chansey,Pokémon,Basic,,3,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/3.png,https://images.pokemontcg.io/base1/3_hires.png
base1-4,Charizard,Pokémon,Stage 2,,4,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base1/4.png,https://images.pokemontcg.io/base1/4_hires.png
base1-5,Clefairy,Pokémon,Basic,,5,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/5.png,https://images.pokemontcg.io/base1/5_hires.png
base1-6,Gyarados,Pokémon,Stage 1,,6,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base1/6.png,https://images.pokemontcg.io/base1/6_hires.png
base1-7,Hitmonchan,Pokémon,Basic,,7,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/7.png,https://images.pokemontcg.io/base1/7_hires.png
base1-8,Machamp,Pokémon,Stage 2,,8,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/8.png,https://images.pokemontcg.io/base1/8_hires.png
base1-9,Magneton,Pokémon,Stage 1,,9,Keiji Kinebuchi,Rare Holo,Legal,,https://images.pokemontcg.io/base1/9.png,https://images.pokemontcg.io/base1/9_hires.png
base1-10,Mewtwo,Pokémon,Basic,,10,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/10.png,https://images.pokemontcg.io/base1/10_hires.png
base1-11,Nidoking,Pokémon,Stage 2,,11,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/11.png,https://images.pokemontcg.io/base1/11_hires.png
base1-12,Ninetales,Pokémon,Stage 1,,12,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/12.png,https://images.pokemontcg.io/base1/12_hires.png
