id,name,nationalPokedexNumbers,level,hp,type1,type2,evolvesFrom,weaknessColor,weaknessModifier
base1-1,Alakazam,[65],42,80,Psychic,,Kadabra,Psychic,×2
base1-2,Blastoise,[9],52,100,Water,,Wartortle,Lightning,×2
base1-3,Chansey,[113],55,120,Colorless,,,Fighting,×2
base1-4,Charizard,[6],76,120,Fire,,Charmeleon,Water,×2
base1-5,Clefairy,[35],14,40,Colorless,,,Fighting,×2
base1-6,Gyarados,[130],41,100,Water,,Magikarp,Grass,×2
base1-7,Hitmonchan,[107],33,70,Fighting,,,Psychic,×2
base1-8,Machamp,[68],67,100,Fighting,,Machoke,Psychic,×2
base1-9,Magneton,[82],28,60,Lightning,,Magnemite,Fighting,×2
base1-10,Mewtwo,[150],53,60,Psychic,,,Psychic,×2
base1-11,Nidoking,[34],23,90,Grass,,Nidorino,Psychic,×2
base1-12,Ninetales,[38],32,80,Fire,,Vulpix,Water,×2
base1-13,Poliwrath,[62],48,90,Water,,Poliwhirl,Grass,×2
base1-14,Raichu,[26],40,80,Lightning,,Pikachu,Fighting,×2
base1-15,Venusaur,[3],67,100,Grass,,Ivysaur,Fire,×2
base1-16,Zapdos,[145],64,90,Lightning,,,,
base1-17,Beedrill,[15],32,80,Grass,,Kakuna,Fire,×2
base1-18,Dragonair,[148],33,80,Colorless,,Dratini,,
base1-19,Dugtrio,[51],36,70,Fighting,,Diglett,Grass,×2
base1-20,Electabuzz,[125],35,70,Lightning,,,Fighting,×2
base1-21,Electrode,[101],40,80,Lightning,,Voltorb,Fighting,×2
base1-22,Pidgeotto,[17],36,60,Colorless,,Pidgey,Lightning,×2
base1-23,Arcanine,[59],45,100,Fire,,Growlithe,Water,×2
base1-24,Charmeleon,[5],32,80,Fire,,Charmander,Water,×2
base1-25,Dewgong,[87],42,80,Water,,Seel,Lightning,×2
base1-26,Dratini,[147],10,40,Colorless,,,,
base1-27,Farfetch'd,[83],20,50,Colorless,,,Lightning,×2
base1-28,Growlithe,[58],18,60,Fire,,,Water,×2
base1-29,Haunter,[93],22,60,Psychic,,Gastly,,
base1-30,Ivysaur,[2],20,60,Grass,,Bulbasaur,Fire,×2
base1-31,Jynx,[124],23,70,Psychic,,,Psychic,×2
base1-32,Kadabra,[64],38,60,Psychic,,Abra,Psychic,×2
base1-33,Kakuna,[14],23,80,Grass,,Weedle,Fire,×2
base1-34,Machoke,[67],40,80,Fighting,,Machop,Psychic,×2
base1-35,Magikarp,[129],8,30,Water,,,Lightning,×2
base1-36,Magmar,[126],24,50,Fire,,,Water,×2
base1-37,Nidorino,[33],25,60,Grass,,Nidoran ♂,Psychic,×2
base1-38,Poliwhirl,[61],28,60,Water,,Poliwag,Grass,×2
base1-39,Porygon,[137],12,30,Colorless,,,Fighting,×2
base1-40,Raticate,[20],41,60,Colorless,,Rattata,Fighting,×2
base1-41,Seel,[86],12,60,Water,,,Lightning,×2
base1-42,Wartortle,[8],22,70,Water,,Squirtle,Lightning,×2
base1-43,Abra,[63],10,30,Psychic,,,Psychic,×2
base1-44,Bulbasaur,[1],13,40,Grass,,,Fire,×2
base1-45,Caterpie,[10],13,40,Grass,,,Fire,×2
base1-46,Charmander,[4],10,50,Fire,,,Water,×2
base1-47,Diglett,[50],8,30,Fighting,,,Grass,×2
base1-48,Doduo,[84],10,50,Colorless,,,Lightning,×2
base1-49,Drowzee,[96],10,50,Psychic,,,Psychic,×2
base1-50,Gastly,[92],8,30,Psychic,,,,
base1-51,Koffing,[109],13,50,Grass,,,Psychic,×2
base1-52,Machop,[66],20,50,Fighting,,,Psychic,×2
base1-53,Magnemite,[81],13,40,Lightning,,,Fighting,×2
base1-54,Metapod,[11],21,70,Grass,,Caterpie,Fire,×2
base1-55,Nidoran ♂,[32],20,40,Grass,,,Psychic,×2
base1-56,Onix,[95],12,90,Fighting,,,Grass,×2
base1-57,Pidgey,[16],8,40,Colorless,,,Lightning,×2
base1-58,Pikachu,[25],12,40,Lightning,,,Fighting,×2
base1-59,Poliwag,[60],13,40,Water,,,Grass,×2
base1-60,Ponyta,[77],10,40,Fire,,,Water,×2
base1-61,Rattata,[19],9,30,Colorless,,,Fighting,×2
base1-62,Sandshrew,[27],12,40,Fighting,,,Grass,×2
base1-63,Squirtle,[7],8,40,Water,,,Lightning,×2
base1-64,Starmie,[121],28,60,Water,,Staryu,Lightning,×2
base1-65,Staryu,[120],15,40,Water,,,Lightning,×2
base1-66,Tangela,[114],8,50,Grass,,,Fire,×2
base1-67,Voltorb,[100],10,40,Lightning,,,Fighting,×2
base1-68,Vulpix,[37],11,50,Fire,,,Water,×2
base1-69,Weedle,[13],12,40,Grass,,,Fire,×2
base2-1,Clefable,[36],34,70,Colorless,,Clefairy,Fighting,×2
base2-2,Electrode,[101],42,90,Lightning,,Voltorb,Fighting,×2
base2-3,Flareon,[136],28,70,Fire,,Eevee,Water,×2
base2-4,Jolteon,[135],29,70,Lightning,,Eevee,Fighting,×2
base2-5,Kangaskhan,[115],40,90,Colorless,,,Fighting,×2
base2-6,Mr. Mime,[122],28,40,Psychic,,Mime Jr.,Psychic,×2
base2-7,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2
base2-8,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2
base2-9,Pinsir,[127],24,60,Grass,,,Fire,×2
base2-10,Scyther,[123],25,70,Grass,,,Fire,×2
base2-11,Snorlax,[143],20,90,Colorless,,Munchlax,Fighting,×2
base2-12,Vaporeon,[134],42,80,Water,,Eevee,Lightning,×2
base2-13,Venomoth,[49],28,70,Grass,,Venonat,Fire,×2
base2-14,Victreebel,[71],42,80,Grass,,Weepinbell,Fire,×2
base2-15,Vileplume,[45],35,80,Grass,,Gloom,Fire,×2
base2-16,Wigglytuff,[40],36,80,Colorless,,Jigglypuff,Fighting,×2
base2-17,Clefable,[36],34,70,Colorless,,Clefairy,Fighting,×2
