card_id,color_id,count,"CONCATENATE(""insert into retreat_cost ("",TEXTJOIN("","",TRUE,A$1,B$1,C$1),"") values('"",TEXTJOIN(""','"",FALSE,A2,B2,C2),""');"")"
base1-1,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-1','Colorless','3');"
base1-2,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-2','Colorless','3');"
base1-3,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-3','Colorless','1');"
base1-4,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-4','Colorless','3');"
base1-5,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-5','Colorless','1');"
base1-6,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-6','Colorless','3');"
base1-7,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-7','Colorless','2');"
base1-8,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-8','Colorless','3');"
base1-9,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-9','Colorless','1');"
base1-10,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-10','Colorless','3');"
base1-11,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-11','Colorless','3');"
base1-12,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-12','Colorless','1');"
base1-13,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-13','Colorless','3');"
base1-14,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-14','Colorless','1');"
base1-15,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-15','Colorless','2');"
base1-16,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-16','Colorless','3');"
base1-18,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-18','Colorless','2');"
base1-19,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-19','Colorless','2');"
base1-20,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-20','Colorless','2');"
base1-21,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-21','Colorless','1');"
base1-22,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-22','Colorless','1');"
base1-23,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-23','Colorless','3');"
base1-24,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-24','Colorless','1');"
base1-25,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-25','Colorless','3');"
base1-26,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-26','Colorless','1');"
base1-27,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-27','Colorless','1');"
base1-28,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-28','Colorless','1');"
base1-29,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-29','Colorless','1');"
base1-30,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-30','Colorless','1');"
base1-31,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-31','Colorless','2');"
base1-32,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-32','Colorless','3');"
base1-33,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-33','Colorless','2');"
base1-34,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-34','Colorless','3');"
base1-35,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-35','Colorless','1');"
base1-36,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-36','Colorless','2');"
base1-37,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-37','Colorless','1');"
base1-38,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-38','Colorless','1');"
base1-39,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-39','Colorless','1');"
base1-40,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-40','Colorless','1');"
base1-41,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-41','Colorless','1');"
base1-42,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-42','Colorless','1');"
base1-44,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-44','Colorless','1');"
base1-45,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-45','Colorless','1');"
base1-46,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-46','Colorless','1');"
base1-49,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-49','Colorless','1');"
base1-51,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-51','Colorless','1');"
base1-52,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-52','Colorless','1');"
base1-53,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-53','Colorless','1');"
base1-54,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-54','Colorless','2');"
base1-55,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-55','Colorless','1');"
base1-56,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base1-56','Colorless','3');"
base1-57,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-57','Colorless','1');"
base1-58,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-58','Colorless','1');"
base1-59,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-59','Colorless','1');"
base1-60,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-60','Colorless','1');"
base1-62,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-62','Colorless','1');"
base1-63,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-63','Colorless','1');"
base1-64,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-64','Colorless','1');"
base1-65,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-65','Colorless','1');"
base1-66,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base1-66','Colorless','2');"
base1-67,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-67','Colorless','1');"
base1-68,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-68','Colorless','1');"
base1-69,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base1-69','Colorless','1');"
base2-1,Colorless,2,"insert into retreat_cost (card_id,color_id,count) values('base2-1','Colorless','2');"
base2-2,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base2-2','Colorless','1');"
base2-3,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base2-3','Colorless','1');"
base2-4,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base2-4','Colorless','1');"
base2-5,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base2-5','Colorless','3');"
base2-6,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base2-6','Colorless','1');"
base2-7,Colorless,3,"insert into retreat_cost (card_id,color_id,count) values('base2-7','Colorless','3');"
base2-9,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base2-9','Colorless','1');"
base2-11,Colorless,4,"insert into retreat_cost (card_id,color_id,count) values('base2-11','Colorless','4');"
base2-12,Colorless,1,"insert into retreat_cost (card_id,color_id,count) values('base2-12','Colorless','1');"
