id,name,card_rule,"CONCATENATE(""insert into trainer_cards ("",TEXTJOIN("","",TRUE,A$1,C$1),"") values('"",TEXTJOIN(""','"",FALSE,A2,C2),""');"")"
base1-70,Clefairy Doll,"Play Clefairy Doll as if it were a Basic Pokémon. While in play, Clefairy Doll counts a a Pokémon (instead of a Trainer card). Clefairy Doll has no attacks, can''t retreat, and can''t be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn''t count as a Knocked Out Pokémon. At any time during your turn before your attack, you may discard Clefairy Doll.","insert into trainer_cards (id,card_rule) values('base1-70','Play Clefairy Doll as if it were a Basic Pokémon. While in play, Clefairy Doll counts a a Pokémon (instead of a Trainer card). Clefairy Doll has no attacks, can''t retreat, and can''t be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn''t count as a Knocked Out Pokémon. At any time during your turn before your attack, you may discard Clefairy Doll.');"
base1-71,Computer Search,Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base1-71','Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.');"
base1-72,Devolution Spray,"Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).","insert into trainer_cards (id,card_rule) values('base1-72','Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).');"
base1-73,Impostor Professor Oak,"Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.","insert into trainer_cards (id,card_rule) values('base1-73','Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.');"
base1-74,Item Finder,Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.,"insert into trainer_cards (id,card_rule) values('base1-74','Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.');"
base1-75,Lass,"You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.","insert into trainer_cards (id,card_rule) values('base1-75','You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.');"
base1-76,Pokémon Breeder,Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.,"insert into trainer_cards (id,card_rule) values('base1-76','Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.');"
base1-77,Pokémon Trader,Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base1-77','Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.');"
base1-78,Scoop Up,Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.),"insert into trainer_cards (id,card_rule) values('base1-78','Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.)');"
base1-79,Super Energy Removal,Discard 1 Energy card attached to 1 of your Pokémon in order to choose 1 of your opponent''s Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.,"insert into trainer_cards (id,card_rule) values('base1-79','Discard 1 Energy card attached to 1 of your Pokémon in order to choose 1 of your opponent''s Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.');"
base1-80,Defender,"Attach Defender to 1 of your Pokémon. At the end of your opponent''s next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).","insert into trainer_cards (id,card_rule) values('base1-80','Attach Defender to 1 of your Pokémon. At the end of your opponent''s next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).');"
base1-81,Energy Retrieval,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,"insert into trainer_cards (id,card_rule) values('base1-81','Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.');"
base1-82,Full Heal,"Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.","insert into trainer_cards (id,card_rule) values('base1-82','Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.');"
base1-83,Maintenance,Shuffle 2 of the other cards from your hand into your deck in order to draw a card.,"insert into trainer_cards (id,card_rule) values('base1-83','Shuffle 2 of the other cards from your hand into your deck in order to draw a card.');"
base1-84,PlusPower,"Attach PlusPower to your Active Pokémon. At the end of your turn, discard PlusPower. If this Pokémon''s attack does damage to the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.","insert into trainer_cards (id,card_rule) values('base1-84','Attach PlusPower to your Active Pokémon. At the end of your turn, discard PlusPower. If this Pokémon''s attack does damage to the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.');"
