pokemon,attack_name,type,count
base1-1,Confuse Ray,Psychic,3
base1-2,Hydro Pump,Water,3
base1-3,Scrunch,Colorless,2
base1-3,Double-edge,Colorless,4
base1-4,Fire Spin,Fire,4
base1-5,Sing,Colorless,1
base1-5,Metronome,Colorless,3
base1-6,Dragon Rage,Water,3
base1-6,Bubblebeam,Water,4
base1-7,Jab,Fighting,1
base1-7,Special Punch,Fighting,2
base1-7,Special Punch,Colorless,1
base1-8,Seismic Toss,Fighting,3
base1-8,Seismic Toss,Colorless,1
base1-9,Thunder Wave,Lightning,2
base1-9,Thunder Wave,Colorless,1
base1-9,Selfdestruct,Lightning,2
base1-9,Selfdestruct,Colorless,2
base1-10,Psychic,Psychic,1
base1-10,Psychic,Colorless,1
base1-10,Barrier,Psychic,2
base1-11,Thrash,Grass,1
base1-11,Thrash,Colorless,2
base1-11,Toxic,Grass,3
base1-12,Lure,Colorless,2
base1-12,Fire Blast,Fire,4
base1-13,Water Gun,Water,2
base1-13,Water Gun,Colorless,1
base1-13,Whirlpool,Water,2
base1-13,Whirlpool,Colorless,2
base1-14,Agility,Lightning,1
base1-14,Agility,Colorless,2
base1-14,Thunder,Lightning,3
base1-14,Thunder,Colorless,1
base1-15,Solarbeam,Grass,4
base1-16,Thunder,Lightning,3
base1-16,Thunder,Colorless,1
base1-16,Thunderbolt,Lightning,4
base1-17,Twineedle,Colorless,3
base1-17,Poison Sting,Grass,3
base1-18,Slam,Colorless,3
base1-18,Hyper Beam,Colorless,4
base1-19,Slash,Fighting,2
base1-19,Slash,Colorless,1
base1-19,Earthquake,Fighting,4
base1-20,Thundershock,Lightning,1
base1-20,Thunderpunch,Lightning,1
base1-20,Thunderpunch,Colorless,1
base1-21,Electric Shock,Lightning,3
base1-22,Whirlwind,Colorless,2
base1-22,Mirror Move,Colorless,3
base1-23,Flamethrower,Fire,2
base1-23,Flamethrower,Colorless,1
base1-23,Take Down,Fire,2
base1-23,Take Down,Colorless,2
base1-24,Slash,Colorless,3
base1-24,Flamethrower,Fire,2
base1-24,Flamethrower,Colorless,1
base1-25,Aurora Beam,Water,2
base1-25,Aurora Beam,Colorless,1
base1-25,Ice Beam,Water,2
base1-25,Ice Beam,Colorless,2
base1-26,Pound,Colorless,1
base1-27,Leek Slap,Colorless,1
base1-27,Pot Smash,Colorless,3
base1-28,Flare,Fire,1
base1-28,Flare,Colorless,1
base1-29,Hypnosis,Psychic,1
base1-29,Dream Eater,Psychic,2
base1-30,Vine Whip,Grass,1
base1-30,Vine Whip,Colorless,2
base1-30,Poisonpowder,Grass,3
base1-31,Doubleslap,Psychic,1
base1-31,Meditate,Psychic,2
base1-31,Meditate,Colorless,1
base1-32,Recover,Psychic,2
base1-32,Super Psy,Psychic,2
base1-32,Super Psy,Colorless,1
base1-33,Stiffen,Colorless,2
base1-33,Poisonpowder,Grass,2
base1-34,Karate Chop,Fighting,2
base1-34,Karate Chop,Colorless,1
base1-34,Submission,Fighting,2
base1-34,Submission,Colorless,2
base1-35,Tackle,Colorless,1
base1-35,Flail,Water,1
base1-36,Fire Punch,Fire,2
base1-36,Flamethrower,Fire,2
base1-36,Flamethrower,Colorless,1
base1-37,Double Kick,Grass,1
base1-37,Double Kick,Colorless,2
base1-37,Horn Drill,Grass,2
base1-37,Horn Drill,Colorless,2
base1-38,Amnesia,Water,2
base1-38,Doubleslap,Water,2
base1-38,Doubleslap,Colorless,1
base1-39,Conversion 1,Colorless,1
base1-39,Conversion 2,Colorless,2
base1-40,Bite,Colorless,1
base1-40,Super Fang,Colorless,3
base1-41,Headbutt,Water,1
base1-42,Withdraw,Water,1
base1-42,Withdraw,Colorless,1
base1-42,Bite,Water,1
base1-42,Bite,Colorless,2
base1-43,Psyshock,Psychic,1
base1-44,Leech Seed,Grass,2
base1-45,String Shot,Grass,1
base1-46,Scratch,Colorless,1
base1-46,Ember,Fire,1
base1-46,Ember,Colorless,1
base1-47,Dig,Fighting,1
base1-47,Mud Slap,Fighting,2
base1-48,Fury Attack,Colorless,1
base1-49,Pound,Colorless,1
base1-49,Confuse Ray,Psychic,2
base1-50,Sleeping Gas,Psychic,1
base1-50,Destiny Bond,Psychic,1
base1-50,Destiny Bond,Colorless,1
base1-51,Foul Gas,Grass,2
base1-52,Low Kick,Fighting,1
base1-53,Thunder Wave,Lightning,1
base1-53,Selfdestruct,Lightning,1
base1-53,Selfdestruct,Colorless,1
base1-54,Stiffen,Colorless,2
base1-54,Stun Spore,Grass,2
base1-55,Horn Hazard,Grass,1
base1-56,Rock Throw,Fighting,1
base1-56,Harden,Fighting,2
base1-57,Whirlwind,Colorless,2
base1-58,Gnaw,Colorless,1
base1-58,Thunder Jolt,Lightning,1
base1-58,Thunder Jolt,Colorless,1
base1-59,Water Gun,Water,1
base1-60,Smash Kick,Colorless,2
base1-60,Flame Tail,Fire,2
base1-61,Bite,Colorless,1
base1-62,Sand-attack,Fighting,1
base1-63,Bubble,Water,1
base1-63,Withdraw,Water,1
base1-63,Withdraw,Colorless,1
base1-64,Recover,Water,2
base1-64,Star Freeze,Water,1
base1-64,Star Freeze,Colorless,2
base1-65,Slap,Water,1
base1-66,Bind,Grass,1
base1-66,Bind,Colorless,1
base1-66,Poisonpowder,Grass,3
base1-67,Tackle,Colorless,1
base1-68,Confuse Ray,Fire,2
base1-69,Poison Sting,Grass,1
base2-1,Metronome,Colorless,1
