id,name,nationalPokedexNumbers,level,hp,type1,type2,evolvesFrom,weaknessColor,weaknessModifier,ability_name,ability_text,ability_type
base1-1,Alakazam,[65],42,80,Psychic,,Kadabra,Psychic,×2,Damage Swap,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.",Pokémon Power
base1-2,Blastoise,[9],52,100,Water,,Wartortle,Lightning,×2,Rain Dance,"As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.",Pokémon Power
base1-3,Chansey,[113],55,120,Colorless,,,Fighting,×2,,,
base1-4,Charizard,[6],76,120,Fire,,Charmeleon,Water,×2,Energy Burn,"As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.",Pokémon Power
base1-5,Clefairy,[35],14,40,Colorless,,,Fighting,×2,,,
base1-6,Gyarados,[130],41,100,Water,,Magikarp,Grass,×2,,,
base1-7,Hitmonchan,[107],33,70,Fighting,,,Psychic,×2,,,
base1-8,Machamp,[68],67,100,Fighting,,Machoke,Psychic,×2,Strikes Back,"Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks.",Pokémon Power
base1-9,Magneton,[82],28,60,Lightning,,Magnemite,Fighting,×2,,,
base1-10,Mewtwo,[150],53,60,Psychic,,,Psychic,×2,,,
base1-11,Nidoking,[34],23,90,Grass,,Nidorino,Psychic,×2,,,
base1-12,Ninetales,[38],32,80,Fire,,Vulpix,Water,×2,,,
base1-13,Poliwrath,[62],48,90,Water,,Poliwhirl,Grass,×2,,,
base1-14,Raichu,[26],40,80,Lightning,,Pikachu,Fighting,×2,,,
base1-15,Venusaur,[3],67,100,Grass,,Ivysaur,Fire,×2,Energy Trans,"As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.",Pokémon Power
base1-16,Zapdos,[145],64,90,Lightning,,,,,,,
base1-17,Beedrill,[15],32,80,Grass,,Kakuna,Fire,×2,,,
base1-18,Dragonair,[148],33,80,Colorless,,Dratini,,,,,
base1-19,Dugtrio,[51],36,70,Fighting,,Diglett,Grass,×2,,,
base1-20,Electabuzz,[125],35,70,Lightning,,,Fighting,×2,,,
base1-21,Electrode,[101],40,80,Lightning,,Voltorb,Fighting,×2,Buzzap,"At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokémon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed.",Pokémon Power
base1-22,Pidgeotto,[17],36,60,Colorless,,Pidgey,Lightning,×2,,,
base1-23,Arcanine,[59],45,100,Fire,,Growlithe,Water,×2,,,
base1-24,Charmeleon,[5],32,80,Fire,,Charmander,Water,×2,,,
base1-25,Dewgong,[87],42,80,Water,,Seel,Lightning,×2,,,
base1-26,Dratini,[147],10,40,Colorless,,,,,,,
base1-27,Farfetch'd,[83],20,50,Colorless,,,Lightning,×2,,,
base1-28,Growlithe,[58],18,60,Fire,,,Water,×2,,,
base1-29,Haunter,[93],22,60,Psychic,,Gastly,,,,,
base1-30,Ivysaur,[2],20,60,Grass,,Bulbasaur,Fire,×2,,,
base1-31,Jynx,[124],23,70,Psychic,,,Psychic,×2,,,
