id,name,subtypes,level,hp,types,evolvesFrom,abilities,attacks,rules,number,artist,rarity,legalities,images
xyp-XY27,Champions Festival,Stadium,,,,,,,"Once during each player's turn, if that player has 6 Pokémon in play, he or she may heal 10 damage from each of his or her Pokémon., This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.",XY27,Naoki Saito,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY27_hires.png
xyp-XY33,Trevor,Supporter,,,,,,,"Search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward., You may play only 1 Supporter card during your turn (before your attack).",XY33,Ken Sugimori,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY33_hires.png
xyp-XY91,Champions Festival,Stadium,,,,,,,"Once during each player's turn, if that player has 6 Pokémon in play, he or she may heal 10 damage from each of his or her Pokémon., This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.",XY91,Naoki Saito,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY91_hires.png
xyp-XY99,Aerodactyl Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Aerodactyl-EX., You may play as many Item cards as you like during your turn (before your attack).",XY99,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY99_hires.png
xyp-XY105,Mawile Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Mawile-EX., You may play as many Item cards as you like during your turn (before your attack).",XY105,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY105_hires.png
xyp-XY159,Beedrill Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Beedrill-EX., You may play as many Item cards as you like during your turn (before your attack).",XY159,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY159_hires.png
xyp-XY169,Garchomp Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Garchomp-EX., You may play as many Item cards as you like during your turn (before your attack).",XY169,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY169_hires.png
xyp-XY172,Salamence Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Salamence-EX., You may play as many Item cards as you like during your turn (before your attack).",XY172,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY172_hires.png
xyp-XY176,Champions Festival,Stadium,,,,,,,"Once during each player's turn, if that player has 6 Pokémon in play, he or she may heal 10 damage from each of his or her Pokémon., This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.",XY176,Naoki Saito,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY176_hires.png
xyp-XY177,Karen,Supporter,,,,,,,"Each player shuffles all Pokémon in his or her discard pile into his or her deck., You may play only 1 Supporter card during your turn (before your attack).",XY177,You Iribi,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY177_hires.png
xyp-XY177a,Karen,Supporter,,,,,,,"Each player shuffles all Pokémon in his or her discard pile into his or her deck., You may play only 1 Supporter card during your turn (before your attack).",XY177a,Hitoshi Ariga,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY177a_hires.png
xyp-XY199,Camerupt Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Camerupt-EX., You may play as many Item cards as you like during your turn (before your attack).",XY199,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY199_hires.png
xyp-XY201,Sharpedo Spirit Link,Pokémon Tool,,,,,,,"Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it., Your turn does not end if the Pokémon this card is attached to becomes M Sharpedo-EX., You may play as many Item cards as you like during your turn (before your attack).",XY201,5ban Graphics,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY201_hires.png
xyp-XY203,Gym Badge,Item,,,,,,,"Flip a coin until you get tails. For each heads, draw a card., You may play as many Item cards as you like during your turn (before your attack).",XY203,Ryo Ueda,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY203_hires.png
xyp-XY204,Gym Badge,Item,,,,,,,"Flip a coin until you get tails. For each heads, draw a card., You may play as many Item cards as you like during your turn (before your attack).",XY204,Ryo Ueda,Promo,"unlimited: Legal, expanded: Legal",https://images.pokemontcg.io/xyp/XY204_hires.png
