id,name,generation_id,type_id,power,pp,accuracy,priority,target,damage_class,description,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id,,
1,pound,1,1,40,35,100,0,10,2,1,,5,1,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('1','pound','1','40','100','35','0','10','2','1');"
2,karate-chop,1,2,50,25,100,0,10,2,44,,5,2,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('2','karate-chop','2','50','100','25','0','10','2','44');"
3,double-slap,1,1,15,10,85,0,10,2,30,,5,10,7,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('3','double-slap','1','15','85','10','0','10','2','30');"
4,comet-punch,1,1,18,15,85,0,10,2,30,,5,12,7,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('4','comet-punch','1','18','85','15','0','10','2','30');"
5,mega-punch,1,1,80,20,85,0,10,2,1,,5,1,18,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('5','mega-punch','1','80','85','20','0','10','2','1');"
6,pay-day,1,1,40,20,100,0,10,2,35,,4,11,23,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('6','pay-day','1','40','100','20','0','10','2','35');"
7,fire-punch,1,10,75,15,100,0,10,2,5,10,2,1,17,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('7','fire-punch','10','75','100','15','0','10','2','5');"
8,ice-punch,1,15,75,15,100,0,10,2,6,10,2,1,17,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('8','ice-punch','15','75','100','15','0','10','2','6');"
9,thunder-punch,1,13,75,15,100,0,10,2,7,10,1,1,17,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('9','thunder-punch','13','75','100','15','0','10','2','7');"
10,scratch,1,1,40,35,100,0,10,2,1,,5,1,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('10','scratch','1','40','100','35','0','10','2','1');"
11,vice-grip,1,1,55,30,100,0,10,2,1,,5,1,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('11','vice-grip','1','55','100','30','0','10','2','1');"
12,guillotine,1,1,,5,30,0,10,2,39,,1,14,9,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('12','guillotine','1','','30','5','0','10','2','39');"
13,razor-wind,1,1,80,10,100,0,11,3,40,,1,2,6,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('13','razor-wind','1','80','100','10','0','11','3','40');"
14,swords-dance,1,1,,20,,0,7,1,51,,2,32,11,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('14','swords-dance','1','','','20','0','7','1','51');"
15,cut,1,1,50,30,95,0,10,2,1,,1,14,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('15','cut','1','50','95','30','0','10','2','1');"
16,gust,1,3,40,35,100,0,10,3,150,,4,21,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('16','gust','3','40','100','35','0','10','3','150');"
17,wing-attack,1,3,60,35,100,0,10,2,1,,1,12,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('17','wing-attack','3','60','100','35','0','10','2','1');"
18,whirlwind,1,1,,20,,-6,10,1,29,,4,21,9,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('18','whirlwind','1','','','20','-6','10','1','29');"
19,fly,1,3,90,15,95,0,10,2,156,,4,15,6,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('19','fly','3','90','95','15','0','10','2','156');"
20,bind,1,1,15,20,85,0,10,2,43,100,5,24,21,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('20','bind','1','15','85','20','0','10','2','43');"
21,slam,1,1,80,20,75,0,10,2,1,,5,23,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('21','slam','1','80','75','20','0','10','2','1');"
22,vine-whip,1,12,45,25,100,0,10,2,1,,1,1,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('22','vine-whip','12','45','100','25','0','10','2','1');"
23,stomp,1,1,65,20,100,0,10,2,151,30,5,4,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('23','stomp','1','65','100','20','0','10','2','151');"
24,double-kick,1,2,30,30,100,0,10,2,45,,1,12,7,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('24','double-kick','2','30','100','30','0','10','2','45');"
25,mega-kick,1,1,120,5,75,0,10,2,1,,1,1,18,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('25','mega-kick','1','120','75','5','0','10','2','1');"
26,jump-kick,1,2,100,10,95,0,10,2,46,,1,3,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('26','jump-kick','2','100','95','10','0','10','2','46');"
27,rolling-kick,1,2,60,15,85,0,10,2,32,30,1,5,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('27','rolling-kick','2','60','85','15','0','10','2','32');"
28,sand-attack,1,5,,15,100,0,10,1,24,,3,10,19,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('28','sand-attack','5','','100','15','0','10','1','24');"
29,headbutt,1,1,70,15,100,0,10,2,32,30,5,9,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('29','headbutt','1','70','100','15','0','10','2','32');"
30,horn-attack,1,1,65,25,100,0,10,2,1,,1,1,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('30','horn-attack','1','65','100','25','0','10','2','1');"
31,fury-attack,1,1,15,20,85,0,10,2,30,,1,10,7,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('31','fury-attack','1','15','85','20','0','10','2','30');"
32,horn-drill,1,1,,5,30,0,10,2,39,,1,14,9,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('32','horn-drill','1','','30','5','0','10','2','39');"
33,tackle,1,1,40,35,100,0,10,2,1,,5,1,5,,"insert into moves (id,name,type_id,power,accuracy,pp,priority,target,damage_class,description) values('33','tackle','1','40','100','35','0','10','2','1');"
