id,name,species_id,height,weight,base_exp,order,is_default,,
1,bulbasaur,1,7,69,64,1,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('1','bulbasaur','1','69','7','64','1','1');"
2,ivysaur,2,10,130,142,2,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('2','ivysaur','2','130','10','142','2','1');"
3,venusaur,3,20,1000,263,3,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('3','venusaur','3','1000','20','263','3','1');"
4,charmander,4,6,85,62,5,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('4','charmander','4','85','6','62','5','1');"
5,charmeleon,5,11,190,142,6,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('5','charmeleon','5','190','11','142','6','1');"
6,charizard,6,17,905,267,7,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('6','charizard','6','905','17','267','7','1');"
7,squirtle,7,5,90,63,10,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('7','squirtle','7','90','5','63','10','1');"
8,wartortle,8,10,225,142,11,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('8','wartortle','8','225','10','142','11','1');"
9,blastoise,9,16,855,265,12,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('9','blastoise','9','855','16','265','12','1');"
10,caterpie,10,3,29,39,14,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('10','caterpie','10','29','3','39','14','1');"
11,metapod,11,7,99,72,15,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('11','metapod','11','99','7','72','15','1');"
12,butterfree,12,11,320,198,16,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('12','butterfree','12','320','11','198','16','1');"
13,weedle,13,3,32,39,17,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('13','weedle','13','32','3','39','17','1');"
14,kakuna,14,6,100,72,18,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('14','kakuna','14','100','6','72','18','1');"
15,beedrill,15,10,295,178,19,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('15','beedrill','15','295','10','178','19','1');"
16,pidgey,16,3,18,50,21,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('16','pidgey','16','18','3','50','21','1');"
17,pidgeotto,17,11,300,122,22,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('17','pidgeotto','17','300','11','122','22','1');"
18,pidgeot,18,15,395,216,23,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('18','pidgeot','18','395','15','216','23','1');"
19,rattata,19,3,35,51,25,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('19','rattata','19','35','3','51','25','1');"
20,raticate,20,7,185,145,27,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('20','raticate','20','185','7','145','27','1');"
21,spearow,21,3,20,52,30,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('21','spearow','21','20','3','52','30','1');"
22,fearow,22,12,380,155,31,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('22','fearow','22','380','12','155','31','1');"
23,ekans,23,20,69,58,32,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('23','ekans','23','69','20','58','32','1');"
24,arbok,24,35,650,157,33,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('24','arbok','24','650','35','157','33','1');"
25,pikachu,25,4,60,112,35,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('25','pikachu','25','60','4','112','35','1');"
26,raichu,26,8,300,243,51,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('26','raichu','26','300','8','243','51','1');"
27,sandshrew,27,6,120,60,53,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('27','sandshrew','27','120','6','60','53','1');"
28,sandslash,28,10,295,158,55,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('28','sandslash','28','295','10','158','55','1');"
29,nidoran-f,29,4,70,55,57,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('29','nidoran-f','29','70','4','55','57','1');"
30,nidorina,30,8,200,128,58,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('30','nidorina','30','200','8','128','58','1');"
31,nidoqueen,31,13,600,253,59,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('31','nidoqueen','31','600','13','253','59','1');"
32,nidoran-m,32,5,90,55,60,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('32','nidoran-m','32','90','5','55','60','1');"
33,nidorino,33,9,195,128,61,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('33','nidorino','33','195','9','128','61','1');"
34,nidoking,34,14,620,253,62,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('34','nidoking','34','620','14','253','62','1');"
35,clefairy,35,6,75,113,64,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('35','clefairy','35','75','6','113','64','1');"
36,clefable,36,13,400,242,65,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('36','clefable','36','400','13','242','65','1');"
37,vulpix,37,6,99,60,66,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('37','vulpix','37','99','6','60','66','1');"
38,ninetales,38,11,199,177,68,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('38','ninetales','38','199','11','177','68','1');"
39,jigglypuff,39,5,55,95,71,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('39','jigglypuff','39','55','5','95','71','1');"
40,wigglytuff,40,10,120,218,72,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('40','wigglytuff','40','120','10','218','72','1');"
41,zubat,41,8,75,49,73,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('41','zubat','41','75','8','49','73','1');"
42,golbat,42,16,550,159,74,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('42','golbat','42','550','16','159','74','1');"
43,oddish,43,5,54,64,76,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('43','oddish','43','54','5','64','76','1');"
44,gloom,44,8,86,138,77,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('44','gloom','44','86','8','138','77','1');"
45,vileplume,45,12,186,245,78,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('45','vileplume','45','186','12','245','78','1');"
46,paras,46,3,54,57,80,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('46','paras','46','54','3','57','80','1');"
47,parasect,47,10,295,142,81,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('47','parasect','47','295','10','142','81','1');"
48,venonat,48,10,300,61,82,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('48','venonat','48','300','10','61','82','1');"
49,venomoth,49,15,125,158,83,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('49','venomoth','49','125','15','158','83','1');"
50,diglett,50,2,8,53,84,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('50','diglett','50','8','2','53','84','1');"
51,dugtrio,51,7,333,149,86,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('51','dugtrio','51','333','7','149','86','1');"
52,meowth,52,4,42,58,88,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('52','meowth','52','42','4','58','88','1');"
53,persian,53,10,320,154,91,1,,"INSERT INTO pokemon (id,name,species_id,height,weight,base_exp,""order"",is_default) VALUES ('53','persian','53','320','10','154','91','1');"
