pokemon_id,ability_id,is_hidden,slot,,
1,65,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('1','65');"
1,34,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('1','34');"
2,65,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('2','65');"
2,34,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('2','34');"
3,65,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('3','65');"
3,34,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('3','34');"
4,66,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('4','66');"
4,94,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('4','94');"
5,66,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('5','66');"
5,94,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('5','94');"
6,66,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('6','66');"
6,94,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('6','94');"
7,67,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('7','67');"
7,44,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('7','44');"
8,67,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('8','67');"
8,44,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('8','44');"
9,67,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('9','67');"
9,44,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('9','44');"
10,19,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('10','19');"
10,50,1,3,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('10','50');"
11,61,0,1,,"INSERT INTO pokemon_abilities (pokemon_id,ability_id) VALUES ('11','61');"
