pokemon_id,name,species_id,egg_group_id,,
1,bulbasaur,1,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('1','1');"
1,bulbasaur,1,7,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('1','7');"
2,ivysaur,2,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('2','1');"
2,ivysaur,2,7,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('2','7');"
3,venusaur,3,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('3','1');"
10033,venusaur-mega,3,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10033','1');"
3,venusaur,3,7,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('3','7');"
10033,venusaur-mega,3,7,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10033','7');"
4,charmander,4,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('4','1');"
4,charmander,4,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('4','14');"
5,charmeleon,5,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('5','1');"
5,charmeleon,5,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('5','14');"
6,charizard,6,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('6','1');"
10034,charizard-mega-x,6,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10034','1');"
10035,charizard-mega-y,6,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10035','1');"
6,charizard,6,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('6','14');"
10034,charizard-mega-x,6,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10034','14');"
10035,charizard-mega-y,6,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10035','14');"
7,squirtle,7,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('7','1');"
7,squirtle,7,2,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('7','2');"
8,wartortle,8,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('8','1');"
8,wartortle,8,2,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('8','2');"
9,blastoise,9,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('9','1');"
10036,blastoise-mega,9,1,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10036','1');"
9,blastoise,9,2,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('9','2');"
10036,blastoise-mega,9,2,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10036','2');"
10,caterpie,10,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10','3');"
11,metapod,11,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('11','3');"
12,butterfree,12,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('12','3');"
13,weedle,13,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('13','3');"
14,kakuna,14,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('14','3');"
15,beedrill,15,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('15','3');"
10090,beedrill-mega,15,3,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10090','3');"
16,pidgey,16,4,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('16','4');"
17,pidgeotto,17,4,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('17','4');"
18,pidgeot,18,4,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('18','4');"
10073,pidgeot-mega,18,4,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10073','4');"
19,rattata,19,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('19','5');"
10091,rattata-alola,19,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10091','5');"
20,raticate,20,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('20','5');"
10092,raticate-alola,20,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10092','5');"
10093,raticate-totem-alola,20,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10093','5');"
21,spearow,21,4,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('21','4');"
22,fearow,22,4,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('22','4');"
23,ekans,23,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('23','5');"
23,ekans,23,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('23','14');"
24,arbok,24,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('24','5');"
24,arbok,24,14,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('24','14');"
25,pikachu,25,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('25','5');"
10080,pikachu-rock-star,25,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10080','5');"
10081,pikachu-belle,25,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10081','5');"
10082,pikachu-pop-star,25,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10082','5');"
10083,pikachu-phd,25,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10083','5');"
10084,pikachu-libre,25,5,,"INSERT INTO pokemon_egg_groups (pokemon_id,egg_group_id) VALUES ('10084','5');"
