pokemon_id,game_id,item_id,rarity,,
12,7,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','7','199','5');"
12,8,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','8','199','5');"
12,9,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','9','199','5');"
12,10,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','10','199','5');"
12,11,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','11','199','5');"
12,12,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','12','199','5');"
12,13,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','13','199','5');"
12,14,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','14','199','5');"
12,15,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','15','199','5');"
12,16,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','16','199','5');"
12,17,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','17','199','5');"
12,18,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','18','199','5');"
12,21,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','21','199','5');"
12,22,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','22','199','5');"
12,23,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','23','199','5');"
12,24,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','24','199','5');"
12,25,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','25','199','5');"
12,26,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','26','199','5');"
12,27,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','27','199','5');"
12,28,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','28','199','5');"
12,29,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','29','199','5');"
12,30,199,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('12','30','199','5');"
15,7,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','7','222','5');"
15,8,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','8','222','5');"
15,9,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','9','222','5');"
15,10,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','10','222','5');"
15,11,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','11','222','5');"
15,12,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','12','222','5');"
15,13,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','13','222','5');"
15,14,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','14','222','5');"
15,15,222,5,,"INSERT INTO pokemon_items (pokemon_id,game_id,item_id,rarity) VALUES ('15','15','222','5');"
