pokemon_id,type_id,slot,,
1,12,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('1','12');"
1,4,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('1','4');"
2,12,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('2','12');"
2,4,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('2','4');"
3,12,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('3','12');"
3,4,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('3','4');"
4,10,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('4','10');"
5,10,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('5','10');"
6,10,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('6','10');"
6,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('6','3');"
7,11,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('7','11');"
8,11,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('8','11');"
9,11,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('9','11');"
10,7,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('10','7');"
11,7,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('11','7');"
12,7,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('12','7');"
12,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('12','3');"
13,7,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('13','7');"
13,4,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('13','4');"
14,7,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('14','7');"
14,4,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('14','4');"
15,7,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('15','7');"
15,4,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('15','4');"
16,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('16','1');"
16,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('16','3');"
17,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('17','1');"
17,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('17','3');"
18,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('18','1');"
18,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('18','3');"
19,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('19','1');"
20,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('20','1');"
21,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('21','1');"
21,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('21','3');"
22,1,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('22','1');"
22,3,2,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('22','3');"
23,4,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('23','4');"
24,4,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('24','4');"
25,13,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('25','13');"
26,13,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('26','13');"
27,5,1,,"INSERT INTO pokemon_types (pokemon_id,type_id) VALUES ('27','5');"
